k,P(k)_alpha_0.65,P(k)_alpha_0.75,P(k)_alpha_0.85
0,0.35,0.25,0.15
1,0.2275,0.1875,0.1275
2,0.147875,0.140625,0.108375
3,0.0961188,0.105469,0.0921187
4,0.0624772,0.0791016,0.0783009
5,0.0406102,0.0593262,0.0665558
6,0.0263966,0.0444946,0.0565724
7,0.0171578,0.033371,0.0480866
8,0.0111526,0.0250282,0.0408736
9,0.00724917,0.0187712,0.0347425
10,0.00471196,0.0140784,0.0295312
11,0.00306277,0.0105588,0.0251015
12,0.0019908,0.00791909,0.0213363
13,0.00129402,0.00593932,0.0181358
14,0.000841114,0.00445449,0.0154155
15,0.000546724,0.00334087,0.0131031
16,0.00101535,0.0100226,0.0742511
E[k],1.855,2.97,5.246
