kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
ATTN.swa.qkv_proj,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.50344,bandwidth,0.7451,1.4902
ATTN.swa.qkv_proj,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.309,bandwidth,0.7451,1.4902
ATTN.swa.attention,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,8.3886e-05,compute,0.00012262,0.00024524
ATTN.swa.attention,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00021299,bandwidth,0.00012262,0.00024524
ATTN.swa.out_proj,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.16782,bandwidth,0.24837,0.49674
ATTN.swa.out_proj,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43633,bandwidth,0.24837,0.49674
ATTN.csa.kv_compress,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.01049,bandwidth,0.015525,0.32602
ATTN.csa.kv_compress,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.027273,bandwidth,0.015525,0.32602
ATTN.csa.indexer_proj,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.003936,bandwidth,0.0058253,0.12233
ATTN.csa.indexer_proj,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.010234,bandwidth,0.0058253,0.12233
ATTN.csa.indexer_score,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,3.072e-05,compute,3.3204e-05,0.00069728
ATTN.csa.indexer_score,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,3.9e-05,bandwidth,3.3204e-05,0.00069728
ATTN.csa.topk_select,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,1.875e-06,bandwidth,2.775e-06,5.8275e-05
ATTN.csa.topk_select,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.875e-06,bandwidth,2.775e-06,5.8275e-05
ATTN.csa.core_attention,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.042353,bandwidth,0.062682,1.3163
ATTN.csa.core_attention,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.11012,bandwidth,0.062682,1.3163
ATTN.csa.grouped_out_proj,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.083932,bandwidth,0.12422,2.6086
ATTN.csa.grouped_out_proj,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.21822,bandwidth,0.12422,2.6086
ATTN.hca.kv_compress,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.0052461,bandwidth,0.0077642,0.15528
ATTN.hca.kv_compress,ATTN,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.01364,bandwidth,0.0077642,0.15528
ATTN.hca.core_attention,ATTN,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.042032,bandwidth,0.062208,1.2442
