file,alpha,L,iterations,prefill_kv_bytes,total_verify_to_commit_bytes,total_bytes
trace_deepseek_alpha65_L8192.csv,0.65,8192,45,25427968,688352,26162976
trace_deepseek_alpha75_L8192.csv,0.75,8192,33,25427968,580736,26053824
trace_deepseek_alpha85_L8192.csv,0.85,8192,23,25427968,505024,25976832
trace_deepseek_alpha65_L16384.csv,0.65,16384,45,50855936,688352,51623712
trace_deepseek_alpha75_L16384.csv,0.75,16384,33,50855936,580736,51514560
trace_deepseek_alpha85_L16384.csv,0.85,16384,23,50855936,505024,51437568
trace_deepseek_alpha65_L32768.csv,0.65,32768,45,101711872,688352,102545184
trace_deepseek_alpha75_L32768.csv,0.75,32768,33,101711872,580736,102436032
trace_deepseek_alpha85_L32768.csv,0.85,32768,23,101711872,505024,102359040
trace_deepseek_alpha65_L65536.csv,0.65,65536,45,203423744,688352,204388128
trace_deepseek_alpha75_L65536.csv,0.75,65536,33,203423744,580736,204278976
trace_deepseek_alpha85_L65536.csv,0.85,65536,23,203423744,505024,204201984
trace_deepseek_alpha65_L131072.csv,0.65,131072,45,406847488,688352,408074016
trace_deepseek_alpha75_L131072.csv,0.75,131072,33,406847488,580736,407964864
trace_deepseek_alpha85_L131072.csv,0.85,131072,23,406847488,505024,407887872
trace_deepseek_alpha65_L262144.csv,0.65,262144,45,813694976,688352,815445792
trace_deepseek_alpha75_L262144.csv,0.75,262144,33,813694976,580736,815336640
trace_deepseek_alpha85_L262144.csv,0.85,262144,23,813694976,505024,815259648
trace_deepseek_alpha65_L524288.csv,0.65,524288,45,1627389952,688352,1630189344
trace_deepseek_alpha75_L524288.csv,0.75,524288,33,1627389952,580736,1630080192
trace_deepseek_alpha85_L524288.csv,0.85,524288,23,1627389952,505024,1630003200
trace_deepseek_alpha65_L1048576.csv,0.65,1048576,45,3254779904,688352,3259676448
trace_deepseek_alpha75_L1048576.csv,0.75,1048576,33,3254779904,580736,3259567296
trace_deepseek_alpha85_L1048576.csv,0.85,1048576,23,3254779904,505024,3259490304
