kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
A.embed_lookup,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.02496,bandwidth,0.036941,0.036941
A.embed_lookup,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.064896,bandwidth,0.036941,0.036941
A.local_attn_layer.rmsnorm_attn,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.024968,bandwidth,0.036953,1.4412
A.local_attn_layer.rmsnorm_attn,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.064918,bandwidth,0.036953,1.4412
A.local_attn_layer.qkv_proj,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.46006,compute,0.46006,17.942
A.local_attn_layer.qkv_proj,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.46006,compute,0.46006,17.942
A.local_attn_layer.attention,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.72,bandwidth,1.0656,41.558
A.local_attn_layer.attention,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.872,bandwidth,1.0656,41.558
A.local_attn_layer.out_proj,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.40894,compute,0.40894,15.949
A.local_attn_layer.out_proj,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.40894,compute,0.40894,15.949
A.local_attn_layer.rmsnorm_ffn,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.024968,bandwidth,0.036953,1.4412
A.local_attn_layer.rmsnorm_ffn,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.064918,bandwidth,0.036953,1.4412
A.local_attn_layer.ffn_gate_up,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,3.9872,compute,3.9872,155.5
A.local_attn_layer.ffn_gate_up,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,3.9872,compute,3.9872,155.5
A.local_attn_layer.swiglu_act,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.11232,bandwidth,0.16623,6.4831
A.local_attn_layer.swiglu_act,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.29203,bandwidth,0.16623,6.4831
A.local_attn_layer.ffn_down,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,1.9936,compute,1.9936,77.751
A.local_attn_layer.ffn_down,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.9936,compute,1.9936,77.751
A.global_attn_layer.rmsnorm_attn,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.024968,bandwidth,0.036953,0.48039
A.global_attn_layer.rmsnorm_attn,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.064918,bandwidth,0.036953,0.48039
A.global_attn_layer.qkv_proj,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.46006,compute,0.46006,5.9808
A.global_attn_layer.qkv_proj,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.46006,compute,0.46006,5.9808
A.global_attn_layer.attention,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.72,bandwidth,1.0656,13.853
A.global_attn_layer.attention,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.872,bandwidth,1.0656,13.853
A.global_attn_layer.out_proj,A,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.40894,compute,0.40894,5.3163
A.global_attn_layer.out_proj,A,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.40894,compute,0.40894,5.3163
