kernel_id,task,op_type,datatype,multiplicity,weight_shape_elems,layer_size_bytes_per_instance,compute_flops_per_instance,output_tokens,output_dim,output_activation_bytes_per_instance,output_note
A.embed_lookup,A,lookup,bf16,1,9984000,19968000.0,0.0,1500,6656,19968000.0,embedding vector
A.local_attn_layer.rmsnorm_attn,A,norm,bf16,39,6656,13312.0,49920000.0,1500,6656,19968000.0,normalized hidden state
A.local_attn_layer.qkv_proj,A,matmul,bf16,39,30670848,61341696.0,92012544000.0,1500,4608,13824000.0,"Q+K+V, concatenated"
A.local_attn_layer.attention,A,attention,bf16,39,,0.0,18432000000.0,1500,4096,12288000.0,"attention output, pre-out-proj"
A.local_attn_layer.out_proj,A,matmul,bf16,39,27262976,54525952.0,81788928000.0,1500,6656,19968000.0,"attention output, post-projection"
A.local_attn_layer.rmsnorm_ffn,A,norm,bf16,39,6656,13312.0,49920000.0,1500,6656,19968000.0,normalized hidden state
A.local_attn_layer.ffn_gate_up,A,matmul,bf16,39,265814016,531628032.0,797442048000.0,1500,39936,119808000.0,"gate+up, pre-activation"
A.local_attn_layer.swiglu_act,A,elementwise,bf16,39,,0.0,89856000.0,1500,19968,59904000.0,gated FFN hidden state
A.local_attn_layer.ffn_down,A,matmul,bf16,39,132907008,265814016.0,398721024000.0,1500,6656,19968000.0,"FFN output, back to d_model"
A.global_attn_layer.rmsnorm_attn,A,norm,bf16,13,6656,13312.0,49920000.0,1500,6656,19968000.0,normalized hidden state
A.global_attn_layer.qkv_proj,A,matmul,bf16,13,30670848,61341696.0,92012544000.0,1500,4608,13824000.0,"Q+K+V, concatenated"
A.global_attn_layer.attention,A,attention,bf16,13,,0.0,18432000000.0,1500,4096,12288000.0,"attention output, pre-out-proj"
A.global_attn_layer.out_proj,A,matmul,bf16,13,27262976,54525952.0,81788928000.0,1500,6656,19968000.0,"attention output, post-projection"
A.global_attn_layer.rmsnorm_ffn,A,norm,bf16,13,6656,13312.0,49920000.0,1500,6656,19968000.0,normalized hidden state
A.global_attn_layer.ffn_gate_up,A,matmul,bf16,13,265814016,531628032.0,797442048000.0,1500,39936,119808000.0,"gate+up, pre-activation"
A.global_attn_layer.swiglu_act,A,elementwise,bf16,13,,0.0,89856000.0,1500,19968,59904000.0,gated FFN hidden state
A.global_attn_layer.ffn_down,A,matmul,bf16,13,132907008,265814016.0,398721024000.0,1500,6656,19968000.0,"FFN output, back to d_model"
A.final_norm,A,norm,bf16,1,6656,13312.0,49920000.0,1500,6656,19968000.0,normalized hidden state
B.draft_layer.qkv_proj,B,matmul,bf16,80,40894464,81788928.0,81788928.0,1,6144,12288.0,"Q+K+V, concatenated"
B.draft_layer.attention,B,attention,bf16,80,,0.0,24576000.0,1,4096,8192.0,"attention output, pre-out-proj"
B.draft_layer.out_proj,B,matmul,bf16,80,27262976,54525952.0,54525952.0,1,6656,13312.0,"attention output, post-projection"
