event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,A,400000,100000,,0,0,external arrival: prompt token IDs
1,0,0,A,D,1412988928,100000,,0,5.94569e+15,one-time prefill KV publish (grows linearly with L)
2,0,0,A,B,13312,100000,,0,5.94569e+15,prefill->draft handoff: last-token hidden state
3,0,1,B,C,128,100000,,0,4.0907e+10,proposed 16-token block: IDs + probs
4,0,1,C,D,705536,100000,13,0,1.14902e+12,verify result: accepted-token KV + context carry
5,0,1,D,B,64,100013,13,13,2.0521e+06,loop continue
6,0,2,B,C,128,100013,,13,4.0907e+10,proposed 16-token block: IDs + probs
7,0,2,C,D,173056,100013,3,13,1.14907e+12,verify result: accepted-token KV + context carry
8,0,2,D,B,64,100016,3,16,2.0521e+06,loop continue
9,0,3,B,C,128,100016,,16,4.0907e+10,proposed 16-token block: IDs + probs
10,0,3,C,D,119808,100016,2,16,1.14908e+12,verify result: accepted-token KV + context carry
11,0,3,D,B,64,100018,2,18,2.0521e+06,loop continue
12,0,4,B,C,128,100018,,18,4.0907e+10,proposed 16-token block: IDs + probs
13,0,4,C,D,66560,100018,1,18,1.14908e+12,verify result: accepted-token KV + context carry
14,0,4,D,B,64,100019,1,19,2.0521e+06,loop continue
15,0,5,B,C,128,100019,,19,4.0907e+10,proposed 16-token block: IDs + probs
16,0,5,C,D,226304,100019,4,19,1.14909e+12,verify result: accepted-token KV + context carry
17,0,5,D,B,64,100023,4,23,2.0521e+06,loop continue
18,0,6,B,C,128,100023,,23,4.0907e+10,proposed 16-token block: IDs + probs
19,0,6,C,D,758784,100023,14,23,1.1491e+12,verify result: accepted-token KV + context carry
20,0,6,D,B,64,100037,14,37,2.0521e+06,loop continue
21,0,7,B,C,128,100037,,37,4.0907e+10,proposed 16-token block: IDs + probs
22,0,7,C,D,226304,100037,4,37,1.14915e+12,verify result: accepted-token KV + context carry
23,0,7,D,B,64,100041,4,41,2.0521e+06,loop continue
24,0,8,B,C,128,100041,,41,4.0907e+10,proposed 16-token block: IDs + probs
25,0,8,C,D,119808,100041,2,41,1.14916e+12,verify result: accepted-token KV + context carry
26,0,8,D,B,64,100043,2,43,2.0521e+06,loop continue
27,0,9,B,C,128,100043,,43,4.0907e+10,proposed 16-token block: IDs + probs
28,0,9,C,D,119808,100043,2,43,1.14917e+12,verify result: accepted-token KV + context carry
29,0,9,D,B,64,100045,2,45,2.0521e+06,loop continue
30,0,10,B,C,128,100045,,45,4.0907e+10,proposed 16-token block: IDs + probs
31,0,10,C,D,226304,100045,4,45,1.14917e+12,verify result: accepted-token KV + context carry
32,0,10,D,B,64,100049,4,49,2.0521e+06,loop continue
