event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,131072,32768,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,101711872,32768,,0,1.12728e+15,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,32768,,0,1.12728e+15,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,32768,,0,5.60031e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,32768,7,0,2.40813e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,32775,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,32775,,7,5.60043e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,29920,32775,7,7,2.40818e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,32782,7,14,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,32782,,14,5.60056e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,32782,3,14,2.40824e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,32785,3,17,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,32785,,17,5.60061e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,32785,2,17,2.40826e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,32787,2,19,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,32787,,19,5.60064e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,32787,1,19,2.40827e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,32788,1,20,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,32788,,20,5.60066e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,29920,32788,7,20,2.40828e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,32795,7,27,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,32795,,27,5.60078e+09,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,32795,7,27,2.40833e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,32802,7,34,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,32802,,34,5.6009e+09,proposed 7-token block via MTP head
